rank,feasible,total_penalty,wt_Al,wt_Co,wt_Cr,wt_Mo,wt_Nb,wt_Ni,wt_Ta,wt_Ti,wt_W,creep_strength_proxy_mpa,cost_usd_per_kg,density_g_cm3,misfit_abs_pct,constraint_ni_balance_wt_pct,constraint_free_cr_at_pct_proxy,constraint_gamma_prime_pct_proxy,constraint_tcp_risk_proxy,constraint_btr_proxy_k,penalty_ni_balance_wt_pct,penalty_free_cr_at_pct_proxy,penalty_gamma_prime_pct_proxy,penalty_tcp_risk_proxy,penalty_btr_proxy_k
1,True,0.0,6.0,0.0,25.0,0.0,0.0,69.0,0.0,0.0,0.0,403.04,13.57,7.433793,0.122,69.0,25.591333,45.0,0.78125,35.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,6.0,0.0,20.0,0.0,0.0,74.0,0.0,0.0,0.0,408.44,14.27,7.50837,0.092,74.0,20.593332,45.0,0.625,35.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,6.0,0.0,25.0,0.0,3.0,66.0,0.0,0.0,0.0,428.54,14.68,7.426627,0.122,66.0,25.433964,46.5,0.78125,56.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,6.0,8.0,25.0,0.0,0.0,61.0,0.0,0.0,0.0,447.04,14.93,7.433793,0.122,61.0,25.598896,45.0,0.78125,35.0,0.0,0.0,0.0,0.0,0.0
5,True,0.0,6.0,0.0,20.0,0.0,3.0,71.0,0.0,0.0,0.0,433.94,15.38,7.50106,0.092,71.0,20.355626,46.5,0.625,56.0,0.0,0.0,0.0,0.0,0.0
6,True,0.0,6.0,8.0,20.0,0.0,0.0,66.0,0.0,0.0,0.0,452.44,15.63,7.50837,0.092,66.0,20.599454,45.0,0.625,35.0,0.0,0.0,0.0,0.0,0.0
7,True,0.0,6.0,8.0,25.0,0.0,3.0,58.0,0.0,0.0,0.0,472.54,16.04,7.426627,0.122,58.0,25.441599,46.5,0.78125,56.0,0.0,0.0,0.0,0.0,0.0
8,True,0.0,6.0,16.0,25.0,0.0,0.0,53.0,0.0,0.0,0.0,491.04,16.29,7.433793,0.122,53.0,25.606464,45.0,0.78125,35.0,0.0,0.0,0.0,0.0,0.0
9,True,0.0,6.0,8.0,20.0,0.0,3.0,63.0,0.0,0.0,0.0,477.94,16.74,7.50106,0.092,63.0,20.361773,46.5,0.625,56.0,0.0,0.0,0.0,0.0,0.0
10,True,0.0,6.0,20.0,25.0,0.0,0.0,49.0,0.0,0.0,0.0,513.04,16.97,7.433793,0.122,49.0,25.610249,45.0,0.78125,35.0,0.0,0.0,0.0,0.0,0.0
11,True,0.0,6.0,16.0,20.0,0.0,0.0,58.0,0.0,0.0,0.0,496.44,16.99,7.50837,0.092,58.0,20.60558,45.0,0.625,35.0,0.0,0.0,0.0,0.0,0.0
12,True,0.0,6.0,16.0,25.0,0.0,3.0,50.0,0.0,0.0,0.0,516.54,17.4,7.426627,0.122,50.0,25.449239,46.5,0.78125,56.0,0.0,0.0,0.0,0.0,0.0
13,True,0.0,6.0,20.0,20.0,0.0,0.0,54.0,0.0,0.0,0.0,518.44,17.67,7.50837,0.092,54.0,20.608644,45.0,0.625,35.0,0.0,0.0,0.0,0.0,0.0
14,True,0.0,6.0,20.0,25.0,0.0,3.0,46.0,0.0,0.0,0.0,538.54,18.08,7.426627,0.122,46.0,25.453061,46.5,0.78125,56.0,0.0,0.0,0.0,0.0,0.0
15,True,0.0,6.0,16.0,20.0,0.0,3.0,55.0,0.0,0.0,0.0,521.94,18.1,7.50106,0.092,55.0,20.367924,46.5,0.625,56.0,0.0,0.0,0.0,0.0,0.0
16,True,0.0,6.0,20.0,20.0,0.0,3.0,51.0,0.0,0.0,0.0,543.94,18.78,7.50106,0.092,51.0,20.371001,46.5,0.625,56.0,0.0,0.0,0.0,0.0,0.0
17,True,0.0,1.0,0.0,25.0,0.0,0.0,62.0,8.0,4.0,0.0,541.5675,27.065,8.210207,0.084,62.0,27.243376,57.0,1.18125,51.0,0.0,0.0,0.0,0.0,0.0
18,True,0.0,1.0,0.0,20.0,0.0,0.0,67.0,8.0,4.0,0.0,561.03,27.765,8.301271,0.054,67.0,21.655766,57.0,1.025,51.0,0.0,0.0,0.0,0.0,0.0
19,True,0.0,1.0,0.0,25.0,0.0,3.0,59.0,8.0,4.0,0.0,561.0675,28.175,8.201467,0.084,59.0,27.096148,58.5,1.18125,72.0,0.0,0.0,0.0,0.0,0.0
20,True,0.0,1.0,8.0,25.0,0.0,0.0,54.0,8.0,4.0,0.0,585.5675,28.425,8.210207,0.084,54.0,27.252388,57.0,1.18125,51.0,0.0,0.0,0.0,0.0,0.0
21,True,0.0,1.0,0.0,20.0,0.0,3.0,64.0,8.0,4.0,0.0,580.53,28.875,8.292336,0.054,64.0,21.407933,58.5,1.025,72.0,0.0,0.0,0.0,0.0,0.0
22,True,0.0,1.0,8.0,20.0,0.0,0.0,59.0,8.0,4.0,0.0,605.03,29.125,8.301271,0.054,59.0,21.662978,57.0,1.025,51.0,0.0,0.0,0.0,0.0,0.0
23,True,0.0,1.0,8.0,25.0,0.0,3.0,51.0,8.0,4.0,0.0,605.0675,29.535,8.201467,0.084,51.0,27.105271,58.5,1.18125,72.0,0.0,0.0,0.0,0.0,0.0
24,True,0.0,1.0,16.0,25.0,0.0,0.0,46.0,8.0,4.0,0.0,629.5675,29.785,8.210207,0.084,46.0,27.261407,57.0,1.18125,51.0,0.0,0.0,0.0,0.0,0.0
25,True,0.0,1.0,8.0,20.0,0.0,3.0,56.0,8.0,4.0,0.0,624.53,30.235,8.292336,0.054,56.0,21.415189,58.5,1.025,72.0,0.0,0.0,0.0,0.0,0.0
26,True,0.0,1.0,16.0,20.0,0.0,0.0,51.0,8.0,4.0,0.0,649.03,30.485,8.301271,0.054,51.0,21.670194,57.0,1.025,51.0,0.0,0.0,0.0,0.0,0.0
27,True,0.0,1.0,20.0,20.0,0.0,0.0,47.0,8.0,4.0,0.0,671.03,31.165,8.301271,0.054,47.0,21.673804,57.0,1.025,51.0,0.0,0.0,0.0,0.0,0.0
28,True,0.0,1.0,16.0,20.0,0.0,3.0,48.0,8.0,4.0,0.0,668.53,31.595,8.292336,0.054,48.0,21.42245,58.5,1.025,72.0,0.0,0.0,0.0,0.0,0.0
